,Size (MB),File Type,File Format,Bio Rep No,Tech Rep No,Biosource Type,Organism,File Status,Publication,Experiment Type,Replicate Info,Assay Details,Biosource,Dataset,Condition,In Experiment As,Project,Notes
0,2993.81,reads,fastq,1,1,immortalized cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
1,3236.45,reads,fastq,1,1,immortalized cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
2,3255.06,reads,fastq,1,1,immortalized cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
3,3001.59,reads,fastq,1,1,immortalized cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
4,0.0,barcodes,txt,1,1,immortalized cell line,human,released,Kim HJ et al. (2020),,,,,,,,4DN,
5,0.0,barcodes,txt,1,1,immortalized cell line,human,released,Kim HJ et al. (2020),,,,,,,,4DN,
6,0.0,barcodes,txt,1,1,immortalized cell line,human,released,Kim HJ et al. (2020),,,,,,,,4DN,
7,22026.73,reads,fastq,1,2,immortalized cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
8,16828.99,reads,fastq,1,2,immortalized cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
9,20154.03,reads,fastq,1,2,immortalized cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
10,15203.73,reads,fastq,1,2,immortalized cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
11,13078.31,reads,fastq,1,2,primary cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
12,11891.56,reads,fastq,1,2,primary cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
13,11919.46,reads,fastq,1,2,primary cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
14,10965.52,reads,fastq,1,2,primary cell line,human,released,Kim HJ et al. (2020),sci-Hi-C,,,multiple,multiple,multiple,raw file,4DN,
15,0.0,barcodes,txt,1,2,primary cell line,human,released,Kim HJ et al. (2020),,,,,,,,4DN,
16,21079.47,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: shendure@uw.edu,sci-Hi-C,"Biorep 1, Techrep 1",DpnII,WTC-11 with MYL2-EGFP,sciHi-C on WTC-11 mEGFP cells,3% PF fixation,raw file,4DN,
17,23010.8,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: shendure@uw.edu,sci-Hi-C,"Biorep 1, Techrep 1",DpnII,WTC-11 with MYL2-EGFP,sciHi-C on WTC-11 mEGFP cells,3% PF fixation,raw file,4DN,
18,21625.92,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: shendure@uw.edu,sci-Hi-C,"Biorep 1, Techrep 1",DpnII,WTC-11 with MYL2-EGFP,sciHi-C on WTC-11 mEGFP cells,3% PF fixation,raw file,4DN,
19,22302.91,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: shendure@uw.edu,sci-Hi-C,"Biorep 1, Techrep 1",DpnII,WTC-11 with MYL2-EGFP,sciHi-C on WTC-11 mEGFP cells,3% PF fixation,raw file,4DN,
20,0.0,barcodes,txt,1,1,induced pluripotent stem cell,human,released,Correspondence: shendure@uw.edu,,,,,,,,4DN,
21,532.94,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
22,691.76,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
23,523.39,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
24,830.82,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
25,447.16,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
26,473.4,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
27,559.05,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
28,569.76,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
29,994.33,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
30,367.35,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
31,639.22,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
32,381.52,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
33,631.47,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
34,480.07,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
35,459.31,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
36,362.9,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
37,889.87,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
38,549.18,reads,fastq,1,1,induced pluripotent stem cell,human,released,Correspondence: biren@ucsd.edu,sn-Hi-C,"Biorep 1, Techrep 1",MboI,WTC-11 AAVS1-GFP C28,Single nucleus Hi-C on WTC-11 with GFP tagged AAVS1,clone 28,raw file,4DN,
