gene_id,token_id,gene_name,nonzero_median,gene_version_x,gene_biotype_x,Chromosome_x,Start_x,End_x,scenic_tf,gene_version_y,gene_biotype_y,Chromosome_y,Start_y,End_y,gene_version,gene_biotype,Chromosome,Start,End
<pad>,0,,,,,,,,False,,,,,,,,,,
<mask>,1,,,,,,,,False,,,,,,,,,,
ENSG00000000003,2,TSPAN6,2.001186019549122,15.0,protein_coding,X,100627107.0,100639991.0,False,15.0,protein_coding,X,100627107.0,100639991.0,15.0,protein_coding,X,100627107.0,100639991.0
ENSG00000000005,3,TNMD,3.2282132031640383,6.0,protein_coding,X,100584935.0,100599885.0,False,6.0,protein_coding,X,100584935.0,100599885.0,6.0,protein_coding,X,100584935.0,100599885.0
ENSG00000000419,4,DPM1,2.218873777678385,14.0,protein_coding,20,50934866.0,50959140.0,False,14.0,protein_coding,20,50934866.0,50959140.0,14.0,protein_coding,20,50934866.0,50959140.0
ENSG00000000457,5,SCYL3,3.7923348732758737,14.0,protein_coding,1,169849630.0,169894267.0,False,14.0,protein_coding,1,169849630.0,169894267.0,14.0,protein_coding,1,169849630.0,169894267.0
ENSG00000000460,6,C1orf112,2.348520948900473,17.0,protein_coding,1,169662006.0,169854080.0,False,17.0,protein_coding,1,169662006.0,169854080.0,17.0,protein_coding,1,169662006.0,169854080.0
ENSG00000000938,7,FGR,3.6523609233116896,13.0,protein_coding,1,27612063.0,27635185.0,False,13.0,protein_coding,1,27612063.0,27635185.0,13.0,protein_coding,1,27612063.0,27635185.0
ENSG00000000971,8,CFH,4.125091814103064,17.0,protein_coding,1,196651753.0,196752476.0,False,17.0,protein_coding,1,196651753.0,196752476.0,17.0,protein_coding,1,196651753.0,196752476.0
ENSG00000001036,9,FUCA2,1.7514524716218405,14.0,protein_coding,6,143494811.0,143511720.0,False,14.0,protein_coding,6,143494811.0,143511720.0,14.0,protein_coding,6,143494811.0,143511720.0
ENSG00000001084,10,GCLC,2.4156348393662945,13.0,protein_coding,6,53497340.0,53616970.0,False,13.0,protein_coding,6,53497340.0,53616970.0,13.0,protein_coding,6,53497340.0,53616970.0
ENSG00000001167,11,NFYA,2.1358156567181648,15.0,protein_coding,6,41072973.0,41102403.0,True,15.0,protein_coding,6,41072973.0,41102403.0,15.0,protein_coding,6,41072973.0,41102403.0
ENSG00000001460,12,STPG1,2.061695265270317,18.0,protein_coding,1,24356998.0,24416934.0,False,18.0,protein_coding,1,24356998.0,24416934.0,18.0,protein_coding,1,24356998.0,24416934.0
ENSG00000001461,13,NIPAL3,2.6187784630312465,17.0,protein_coding,1,24415801.0,24472976.0,False,17.0,protein_coding,1,24415801.0,24472976.0,17.0,protein_coding,1,24415801.0,24472976.0
ENSG00000001497,14,LAS1L,1.9663485923180597,18.0,protein_coding,X,65438548.0,65534810.0,False,18.0,protein_coding,X,65438548.0,65534810.0,18.0,protein_coding,X,65438548.0,65534810.0
ENSG00000001561,15,ENPP4,2.4441504114207344,7.0,protein_coding,6,46129988.0,46146688.0,False,7.0,protein_coding,6,46129988.0,46146688.0,7.0,protein_coding,6,46129988.0,46146688.0
ENSG00000001617,16,SEMA3F,3.309488427821417,12.0,protein_coding,3,50155044.0,50189075.0,False,12.0,protein_coding,3,50155044.0,50189075.0,12.0,protein_coding,3,50155044.0,50189075.0
ENSG00000001626,17,CFTR,4.027858975050529,18.0,protein_coding,7,117287119.0,117715971.0,False,18.0,protein_coding,7,117287119.0,117715971.0,18.0,protein_coding,7,117287119.0,117715971.0
ENSG00000001629,18,ANKIB1,5.861882250538956,10.0,protein_coding,7,92245973.0,92401383.0,False,10.0,protein_coding,7,92245973.0,92401383.0,10.0,protein_coding,7,92245973.0,92401383.0
ENSG00000001630,19,CYP51A1,3.204867402355354,18.0,protein_coding,7,92084986.0,92134803.0,False,18.0,protein_coding,7,92084986.0,92134803.0,18.0,protein_coding,7,92084986.0,92134803.0
ENSG00000001631,20,KRIT1,2.6897286606762094,17.0,protein_coding,7,92197497.0,92246166.0,False,17.0,protein_coding,7,92197497.0,92246166.0,17.0,protein_coding,7,92197497.0,92246166.0
ENSG00000002016,21,RAD52,3.117751364396336,18.0,protein_coding,12,911735.0,990053.0,False,18.0,protein_coding,12,911735.0,990053.0,18.0,protein_coding,12,911735.0,990053.0
ENSG00000002330,22,BAD,2.0478968854073893,14.0,protein_coding,11,64269829.0,64284704.0,True,14.0,protein_coding,11,64269829.0,64284704.0,14.0,protein_coding,11,64269829.0,64284704.0
ENSG00000002549,23,LAP3,2.4413285851852984,13.0,protein_coding,4,17577197.0,17607972.0,False,13.0,protein_coding,4,17577197.0,17607972.0,13.0,protein_coding,4,17577197.0,17607972.0
ENSG00000002586,24,CD99,5.126741841744427,20.0,protein_coding,X,2691186.0,2741309.0,False,20.0,protein_coding,X,2691186.0,2741309.0,20.0,protein_coding,X,2691186.0,2741309.0
ENSG00000002587,25,HS3ST1,2.711258988917515,10.0,protein_coding,4,11393149.0,11429564.0,False,10.0,protein_coding,4,11393149.0,11429564.0,10.0,protein_coding,4,11393149.0,11429564.0
ENSG00000002726,26,AOC1,3.9698528284408083,21.0,protein_coding,7,150824626.0,150861504.0,False,21.0,protein_coding,7,150824626.0,150861504.0,21.0,protein_coding,7,150824626.0,150861504.0
ENSG00000002745,27,WNT16,2.613405826738441,13.0,protein_coding,7,121325366.0,121341104.0,False,13.0,protein_coding,7,121325366.0,121341104.0,13.0,protein_coding,7,121325366.0,121341104.0
ENSG00000002746,28,HECW1,9.408425104213807,15.0,protein_coding,7,43112628.0,43566001.0,False,15.0,protein_coding,7,43112628.0,43566001.0,15.0,protein_coding,7,43112628.0,43566001.0
ENSG00000002822,29,MAD1L1,2.407472191091178,16.0,protein_coding,7,1815792.0,2233243.0,False,16.0,protein_coding,7,1815792.0,2233243.0,16.0,protein_coding,7,1815792.0,2233243.0
ENSG00000002834,30,LASP1,2.5477843923275816,18.0,protein_coding,17,38869858.0,38921770.0,False,18.0,protein_coding,17,38869858.0,38921770.0,18.0,protein_coding,17,38869858.0,38921770.0
ENSG00000002919,31,SNX11,1.8347949876933722,15.0,protein_coding,17,48103356.0,48123601.0,False,15.0,protein_coding,17,48103356.0,48123601.0,15.0,protein_coding,17,48103356.0,48123601.0
ENSG00000002933,32,TMEM176A,3.885870074239929,9.0,protein_coding,7,150800402.0,150805118.0,False,9.0,protein_coding,7,150800402.0,150805118.0,9.0,protein_coding,7,150800402.0,150805118.0
ENSG00000003056,33,M6PR,2.3209755416586337,8.0,protein_coding,12,8940360.0,8949761.0,False,8.0,protein_coding,12,8940360.0,8949761.0,8.0,protein_coding,12,8940360.0,8949761.0
ENSG00000003096,34,KLHL13,6.143149857044893,15.0,protein_coding,X,117897812.0,118117340.0,False,15.0,protein_coding,X,117897812.0,118117340.0,15.0,protein_coding,X,117897812.0,118117340.0
ENSG00000003137,35,CYP26B1,7.027592703550834,9.0,protein_coding,2,72129237.0,72147862.0,False,9.0,protein_coding,2,72129237.0,72147862.0,9.0,protein_coding,2,72129237.0,72147862.0
ENSG00000003147,36,ICA1,2.7186438118902445,19.0,protein_coding,7,8113183.0,8262687.0,False,19.0,protein_coding,7,8113183.0,8262687.0,19.0,protein_coding,7,8113183.0,8262687.0
ENSG00000003249,37,DBNDD1,2.554495338903365,15.0,protein_coding,16,90004870.0,90019890.0,False,15.0,protein_coding,16,90004870.0,90019890.0,15.0,protein_coding,16,90004870.0,90019890.0
ENSG00000003393,38,ALS2,3.4205150381119944,16.0,protein_coding,2,201700266.0,201782112.0,False,16.0,protein_coding,2,201700266.0,201782112.0,16.0,protein_coding,2,201700266.0,201782112.0
ENSG00000003400,39,CASP10,2.012749364589498,16.0,protein_coding,2,201182871.0,201229428.0,False,16.0,protein_coding,2,201182871.0,201229428.0,16.0,protein_coding,2,201182871.0,201229428.0
ENSG00000003402,40,CFLAR,3.4994990750190396,21.0,protein_coding,2,201116153.0,201176687.0,False,21.0,protein_coding,2,201116153.0,201176687.0,21.0,protein_coding,2,201116153.0,201176687.0
ENSG00000003436,41,TFPI,4.183729933137584,16.0,protein_coding,2,187464229.0,187565760.0,False,16.0,protein_coding,2,187464229.0,187565760.0,16.0,protein_coding,2,187464229.0,187565760.0
ENSG00000003509,42,NDUFAF7,2.3568868850776,16.0,protein_coding,2,37231630.0,37253403.0,False,16.0,protein_coding,2,37231630.0,37253403.0,16.0,protein_coding,2,37231630.0,37253403.0
ENSG00000003756,43,RBM5,3.038228153800838,17.0,protein_coding,3,50088918.0,50119021.0,False,17.0,protein_coding,3,50088918.0,50119021.0,17.0,protein_coding,3,50088918.0,50119021.0
ENSG00000003987,44,MTMR7,5.454388203952927,14.0,protein_coding,8,17296793.0,17413528.0,False,14.0,protein_coding,8,17296793.0,17413528.0,14.0,protein_coding,8,17296793.0,17413528.0
ENSG00000003989,45,SLC7A2,3.6491710646899764,18.0,protein_coding,8,17497087.0,17570573.0,False,18.0,protein_coding,8,17497087.0,17570573.0,18.0,protein_coding,8,17497087.0,17570573.0
ENSG00000004059,46,ARF5,2.6299482478965737,11.0,protein_coding,7,127588385.0,127591700.0,False,11.0,protein_coding,7,127588385.0,127591700.0,11.0,protein_coding,7,127588385.0,127591700.0
ENSG00000004139,47,SARM1,3.7728791246496374,14.0,protein_coding,17,28364355.0,28404049.0,False,14.0,protein_coding,17,28364355.0,28404049.0,14.0,protein_coding,17,28364355.0,28404049.0
ENSG00000004142,48,POLDIP2,1.8387908076652122,12.0,protein_coding,17,28346632.0,28357527.0,False,12.0,protein_coding,17,28346632.0,28357527.0,12.0,protein_coding,17,28346632.0,28357527.0
ENSG00000004399,49,PLXND1,2.2726960302447403,13.0,protein_coding,3,129555213.0,129606676.0,False,13.0,protein_coding,3,129555213.0,129606676.0,13.0,protein_coding,3,129555213.0,129606676.0
ENSG00000004455,50,AK2,2.1182865954791814,18.0,protein_coding,1,33007985.0,33080996.0,False,18.0,protein_coding,1,33007985.0,33080996.0,18.0,protein_coding,1,33007985.0,33080996.0
